ID	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS	script
56	Lowa			upa			 upright	उपा
57	Lowa	SHRINK	54	um‍gin			 shrink	उम्गीि
58	Lowa			uluk			 hole in the ground	उलकुक
59	Lowa			e e			 sound made by baby	ए्ए
60	Lowa			eᴴheᴴheᴴheŋ			 neigh, sound made by horse	ए्ॱह्ेॱह्ेॱहङे
61	Lowa			eŋʲa eŋʲa			s cry	एङया्एङया
62	Lowa			em‍ma em‍ma			 long time ago	एम्मा्एम्मा
63	Lowa			emm‍ aki ᴴtsʲidaŋ			 traditional norms and values	एम्माकी्च्यीदाङ
64	Lowa			em‍magu			 first one	एम्मागकु
65	Lowa			ewa			 valuated, evaluated	एिा
66	Lowa			ewa ᴴpegin			 evaluate	एिा्पगे ीि
67	Lowa			ok‍ma			 part of neck	ओकम् ा
68	Lowa			ok‍men			 small music player	ओकम् िे
69	Lowa			oŋ			s call	ओङ
70	Lowa			oŋdi			s name	ओङदी
71	Lowa			ot‍to			 small bullock	ओत्तो
72	Lowa			omo			 heifer	ओमो
73	Lowa	SOCK	1522	omoso			 socks	ओमोसो
74	Lowa			omosoʲi ʟsʲamo			 beannie, handwoven woolen cap	ओमोसोयी्श्यामो
75	Lowa			orkin			 cause to collapse	￼￼￼ओरकीि
76	Lowa			owa			 colour of a yak	￼￼￼￼ओिा
77	Lowa			osʲøna			word used as the pretence or pretext of satisfaction at the suffering of others	ओस्यछो़िा
78	Lowa			øhøøhø			 sound of a cough	ओहछो़ओहछो़
79	Lowa	ROOT	670	ᴴkaːdza			 root, bottom	काःजा
80	Lowa	CUP	476	ᴴkai			 cup	काई
81	Lowa			ᴴkaukaŋen			 friends, acquaintances, relations	काउकाङेि
82	Lowa			ᴴkak			agbeni	काक
83	Lowa			ᴴkak ᴴkak			 sound made while drinking water	काक्काक
84	Lowa			ᴴkatsʲʰa			 grade, rank, standard	￼￼￼काका
85	Lowa			ᴴkaŋdzak‍pa			 having a	काङजाक्पा
86	Lowa			ᴴkaŋɖo			 peddle on a weaving loom	काङडो
87	Lowa	FOOT OR LEG	2098	ᴴkaŋba			 foot, leg	काङबा
88	Lowa	FOOTPRINT	318	ᴴkaŋbi ʟtsʝe			 footprint	काङबी्झ्ये
89	Lowa			ᴴkaŋbi ᴴtʰi			 bottom of feet	काङबी्थी
90	Lowa	TRUMPET	775	ᴴkaŋliŋ			 trumpet	काङलीङ
91	Lowa	GRIEF	1668	ᴴkaŋen			 sorrow, grief	￼￼￼￼काङेि
92	Lowa	WHITE	1335	ᴴkatsʲiŋ			 white	काच्यीङ
93	Lowa			ᴴkatsʲiŋ dak‍wa			 bright moon	काच्यीङ्दाक्िा
94	Lowa			ᴴkadza			 lawsuit	काजा
95	Lowa			ᴴkadzi			 foot print	काजी
96	Lowa			ᴴkaʈa			 mixture of black and white	काटा
97	Lowa	LIGHT (WEIGHT)	1052	ᴴkat‍taŋ			 light, brightness	कात्ताङ
98	Lowa			ᴴkat‍tok			s eye	कात्तोक
99	Lowa	BRIGHT	679	ᴴkat‍wai			 shining, bright, radiant	कात्िाई
100	Lowa			ᴴkap‍tsuʲe			 man who irrigates a farm	काप्चकुये
101	Lowa			ᴴkap‍ʲu			 piece of wood placed on a pillar	काप्यकु
102	Lowa	TONGS	272	ᴴkaba			 tongs	काबा
103	Lowa			ᴴkam‍dza			 place for drying	काम्जा
104	Lowa			ᴴkamm‍ a ʟtuwadzup‍ri			 comet	काम्मा्धकुिाजकुप्री
105	Lowa			ᴴkam‍ma ᴴmin‍ɖu			 comet	काम्मा्ॱमीन्डकु
106	Lowa			ᴴkartok			 night blindness	कारतोक
107	Lowa			ᴴkarma ᴴtoʟʈuk‍pa			 group of six stars	कारमा्तोढकुक्पा
108	Lowa			ᴴkarma ʟrik‍tsʲiŋ			 name of a star	कारमा्रीक्च्यीङ
109	Lowa	STARLIGHT	2836	ᴴkarmi ʟhøk			 starlight	कारमी्हछो़क
110	Lowa			ᴴkarakori			 small and round	काराकोरी
111	Lowa			ᴴkaligan‍ɖaki			andaki	कालीगान्डाकी
112	Lowa	DIFFICULT	584	ᴴkal‍le			 difficult, hard uneasy	काल्ले
113	Lowa	DIFFICULT	584	ᴴkal‍le ʟka			 complicated, difficult	काल्ल्े घा
114	Lowa	DIFFICULT	584	ᴴkal‍le ʟkak‍po			 difficult	काल्ल्े घाक्पो
115	Lowa	DIFFICULT	584	ᴴkal‍le ʟkak‍wa			 difficult	￼￼￼￼काल्ल्े घाक्िा
116	Lowa	DOG	2009	ᴴki			 dog	की
117	Lowa			ᴴki ᴴnʲam			 entertainment, recreation	की्ॱङयाम
118	Lowa			ᴴki ᴴmuk‍kin			 b a r k	की्ॱमकुक्कीि
119	Lowa	TIE	1917	ᴴkik‍kin			 tie, tie up, bind, fasten, gird, confine to imprison, bind	की्क्कीि
120	Lowa	FLEA	232	ᴴkik‍pa			 flea	कीक्पा
121	Lowa	LEND	582	ᴴkigin			 provide loan, lend	कीगीि
122	Lowa	HAPPINESS	2941	ᴴkiŋʲam			 happiness	कीङयाम
123	Lowa	WASH	1453	ᴴkiʈikiʈi			 wash	्यातु कर्आवयाज sound of teeth biting कीटीकीटी
124	Lowa	HAPPY	1495	ᴴkida			 pleasant, happy, blissful, restful	कीदा
125	Lowa	HAPPINESS	2941	ᴴkipu			 pleasure, bliss, happiness	कीपकु
126	Lowa			ᴴkipu ʟmegin			harsh,measurable	कीपकु्मगे ीि
127	Lowa	FOX	1312	ᴴkip‍tsaŋ			 fox	कीप्चाङ
128	Lowa	PUPPY	74	ᴴkip‍ruk			 puppy	कीप्रूक
129	Lowa			ᴴkipʰuri			 delighted, joyous	कीफकुरी
130	Lowa			ᴴkiba ᴴtek‍kin			 repay	कीबा्तके ्कीि
131	Lowa			ᴴkimiliŋ			 name of a village	￼￼￼कीमीलीङ
132	Lowa			ᴴkiwu			 word to call someone at a distance	कीिकु
133	Lowa			ᴴkisʲuri			 comfortably	कीस्यकुरी
134	Lowa			ᴴkyn‍gʲek ᴴpugin			 offer money to a lama	की़न्ग्येक्पकुगीि
135	Lowa			ᴴkyn‍dzuŋ			 smuggler	की़न्जकुङ
136	Lowa	IDOL	1945	ᴴku			image,idol	ककु
137	Lowa			ᴴkukuk			 curly, curled, twisted	ककुककुक
138	Lowa			ᴴkuk‍tse			 plant used while starting a fire	ककुक्चे
139	Lowa	STUPID	1518	ᴴkuk‍pa			 foolish, stupid, dull	ककुक्पा
140	Lowa			ᴴkuŋga			s name	ककुङगा
141	Lowa	CHAIR	1476	ᴴkutsi			 chair	ककुची
142	Lowa			ᴴkudzin			 theft, robber	ककुजीि
143	Lowa	THIEF	1160	ᴴkudzin ᴴkuma			 thief, robber, looter	ककुजीि्ककुमा
144	Lowa			ᴴkuʈa			 small stupa made up of mud	ककुटा
145	Lowa			ᴴkut‍ta			 collarless shirt	ककुत्ता
146	Lowa			ᴴkuduru ᴴkuduru			 sound of chewing roasted peas	ककुदरूकु ्ककुदरूकु
147	Lowa			ᴴkudok ʟʲok‍kin			 make thread	ककुदोक्योक्कीि
148	Lowa	BOTTOM	690	ᴴkup			 bottom, buttocks, fundament	ककुप
149	Lowa	CHAIR	1476	ᴴkup‍kʲak			 chair	ककुप्क्याक
150	Lowa			ᴴkubaː			 frame having photo of a	ककुबाः
151	Lowa	KING	1508	ᴴkum‍di			 king, monarch, sovereign	ककुम्दी
152	Lowa			ᴴkuru			 device to cut wool	ककुरू
153	Lowa			ᴴkula ᴴsʲorkin			getstolen	ककुला्स्योरकीि
154	Lowa	SOUND OR NOISE	1811	ᴴkek			 sound, voice, tone, language	के क
155	Lowa	HEAR	1408	ᴴkek ʟkok‍kin			hear	के क्घोक्कीि
156	Lowa	MANNER	488	ᴴkek‍lu			 manner	के क्लकु
157	Lowa	BIRTHDAY	2407	ᴴkegin ʟtytsʲen			 birthday	के गीि्धीच्येि
158	Lowa			ᴴkedzi ᴴsa			 native land	के जी्सा
159	Lowa	NOISE	1182	ᴴkeʈak			 noise, outcry, uproar	के टाक
160	Lowa			ᴴkeʈak ᴴtsʲuŋa			 not current, obsolete, not in use	के टाक्च्यकुङा
161	Lowa	SWORD	1535	ᴴkeʟʈi			 sword	के ढी
162	Lowa			ᴴketen			s garment worn at the back	के तिे
163	Lowa	UVULA	2293	ᴴken			s apple, uvula	के ि
164	Lowa			ᴴkenaŋ ᴴlubu			 woollen trousers	के िाङ्ॱलकुबकु
165	Lowa	MALE	1553	ᴴkepʰo			 male, man, husband, courageous, brave	￼￼￼के फो
166	Lowa			ᴴkeba ᴴʲuk‍kin			s hip	के बा्ॱयकुक्कीि
167	Lowa	WIFE	1199	ᴴkemi			 wife, wife	के मी
168	Lowa	BANANA	868	ᴴkera			 banana	के रा
169	Lowa			ᴴkok‍ko			 of	कोक्को
170	Lowa	UVULA	2293	ᴴkoŋɖa			 uvula	कोङडा
171	Lowa			ᴴkoŋɖuwa			 dwarf	कोङडकुिा
172	Lowa			ᴴkodzo			 exclamation of alarm, word used to express surprise	कोजो
173	Lowa			ᴴkote			 type of edible plant	कोते
174	Lowa			ᴴkon‍nak			person accepting a bribe	कोन्िाक
175	Lowa	PEEL	275	ᴴkop‍ʲak ʟsʲygin			 peel	कोप्याक्श्यीगीि
176	Lowa			ᴴkom‍rela ᴴsʲigin			 die of dehydration	कोम्रेला्स्यीगीि
177	Lowa			ᴴkork‍wa			 surrounded, encircled	कोरक्िा
178	Lowa			ᴴkoriʲa			orea	कोरीया
179	Lowa			ᴴkowa ᴴtum‍gin			 wrap with animal skin	कोिा्तकुम्गीि
180	Lowa	CHOOSE	1750	ᴴkøgin			 appoint, choose	कछो़गीि
181	Lowa			ᴴkøn‍da			 scarcity	कछो़न्दा
182	Lowa			ᴴkøba			 plan	कछो़बा
183	Lowa			ᴴkʲa ᴴtʰuk‍kin			 can be reached	क्या्थकुक्कीि
184	Lowa			ᴴkʲaː			 name of a colour	क्याः
185	Lowa			ᴴkʲai ʟʈam			 base of wall	क्याई्ढाम
186	Lowa	STOOL	2058	ᴴkʲak‍pa			 stool, faeces	क्याक्पा
187	Lowa			ᴴkʲateri			 draught	￼￼￼￼क्यातरे ी
188	Lowa	BRIGHT	679	ᴴkʲatoi			 bright	क्यातोई
189	Lowa			ᴴkʲatʰiŋi			s scene	क्याथीङी
190	Lowa			ᴴkʲyrak			 ordinary alcohol	क्यीराक
191	Lowa			ᴴkʲyri			 sour smell	क्यीरी
192	Lowa	VOMIT	1278	ᴴkʲuk‍kin			 vomit	क्यकुक्कीि
193	Lowa			ᴴkʲuk‍pe			 a while	क्यकुक्पे
194	Lowa			ᴴkʲuk‍lok ʟgʲap‍kin			 nausea, feeling	क्यकुक्लोक्ग्याप्कीि
195	Lowa			ᴴkʲuŋdak			 lampstand	￼￼￼क्यकुङदाक
196	Lowa	SOUR	1906	ᴴkʲur			 sour, tart, acid	क्यकुर
197	Lowa			ᴴkʲurtsi			 drinking of alcohol or wine, intemperance, drunkenness	क्यकुरची
198	Lowa	SOUR	1906	ᴴkʲurmo			 sour, tart, acid, pungent, sharp, citron, vinegar	क्यकुरमो
199	Lowa			ᴴkʲolu			 lament, dirge	क्योलकु
200	Lowa	INJURE	44	ᴴkʲøn ʟtsʝuŋgin			injure	क्यछो़ि्झ्यकुङगीि
201	Lowa	TOILET	219	ᴴtsʲʰakaŋ			 toilet, lavatory	काकाङ
202	Lowa			ᴴtsʲʰak‍taŋ			 behaviour	काक्ताङ
203	Lowa	DIRT	25	ᴴtsʲʰak‍ruk			 dirt, rubbish	काक्रूक
204	Lowa			ᴴtsʲʰaŋ			 type of alcohol	काङ
205	Lowa			ᴴtsʲʰaŋ ᴴtsemu			 ordinary liquor	￼￼￼काङ्चमे कु
206	Lowa			ᴴtsʲʰaŋ ᴴtʰuŋgin			 drink wine	काङ्थकुङगीि
207	Lowa			ᴴtsʲʰaŋdzak			 net to filter wine	काङजाक
208	Lowa			ᴴtsʲʰap‍ka			 type of alcohol made from fermented rice	काप्का
209	Lowa			ᴴtsʲʰamek			 single	कामके
210	Lowa			ᴴtsʲʰam‍dze			 coordinating	काम्जे
211	Lowa	ALWAYS	1676	ᴴtsʲʰaʲi			 always, at all times, constantly	￼￼￼कायी
212	Lowa			ᴴtsʲʰar ᴴtsʲʰarrr			 sound of water fall	कार्काररर
213	Lowa			ᴴtsʲʰarrr			 sound of water	काररर
214	Lowa			ᴴtsʲʰalak ᴴtsʲʰalak			 sound of water in a vessel not fully filled	कालाक्कालाक
215	Lowa			ᴴtsʲʰawa ᴴtsʲʰok‍kin			 stop rain	कािा्कोक्कीि
216	Lowa	SOUND OR NOISE	1811	ᴴtsʲʰik			 sound, noise, voice, word	कीक
217	Lowa			ᴴtsʲʰik‍kin			 rotten food	￼￼￼￼कीक्कीि
218	Lowa			ᴴtsʲʰikʲa			 foreigner	कीक्या
219	Lowa			ᴴtsʲʰila			 for, for the sake of	कीला
220	Lowa	CROOKED	297	ᴴtsʲʰykʲok			 bent, crooked, twisted, unfavourable, perverse	कीक्योक
221	Lowa	WATER	948	ᴴtsʲʰu			 water	ककु
222	Lowa	WATERFALL	943	ᴴtsʲʰu ᴴtsʲʰara			 waterfall, cascade	ककु्कारा
223	Lowa			ᴴtsʲʰu gagin			 cross a stream	ककु्गागीि
224	Lowa	HIGH TIDE	613	ᴴtsʲʰu ʟg‍ʲegin			flood,risein	ककु्ग्येगीि
225	Lowa			ᴴtsʲʰu ʟtsʝegin			 change in climate according to locality	ककु्झ्येगीि
226	Lowa	ENGINE	2622	ᴴtsʲʰu ᴴtok‍kin ʟmoʈa			engine	￼￼￼ककु्तोक्कीि्मोटा
227	Lowa	WAVE	978	ᴴtsʲʰui balap			 wave, ripple, tide	ककुई्बालाप
228	Lowa	GREEDY	2018	ᴴtsʲʰuk‍tok ᴴtsʲʰe			 showy, greedy	ककुक्तोक्के
229	Lowa	DO	813	ᴴtsʲʰuk‍pu			do	ककुक्पकु
230	Lowa			ᴴtsʲʰuk‍pu baluk			 very rich	ककुक्पकु्बालकुक
231	Lowa			ᴴtsʲʰutsʲʰymi ʟʲu			 afterdeath world	ककुकीमी्यकु
232	Lowa			ᴴtsʲʰuk‍saŋ			 name of a village	￼￼￼￼ककुक्साङ
233	Lowa			ᴴtsʲʰuŋdi			ama has given a special spell	ककुङदी
234	Lowa			ᴴtsʲʰudza			 big water pot	ककुजा
235	Lowa			ᴴtsʲʰuʈi			 white and blue border of apron	ककुटी
236	Lowa			ᴴtsʲʰudak			 table to keep water pot	ककुदाक
237	Lowa			ᴴtsʲʰup‍raŋ			 temporary byre	ककुप्राङ
238	Lowa			ᴴtsʲʰuma			 watercarrier	ककुमा
239	Lowa			ᴴtsʲʰumugu			 kerosene, paraffin	ककुमकुगकु
240	Lowa	DROWN	1904	ᴴtsʲʰula bik‍kin			 drown	￼￼￼ककुला्बीक्कीि
241	Lowa			ᴴtsʲʰe ʟtsʝuŋgin			 g r o w	क्े झय् कुङगीि
242	Lowa			ᴴtsʲʰeu			 flaunting, flirting, showy, pompous, imitating	कउे
243	Lowa	HALF	816	ᴴtsʲʰega			 half	कगे ा
244	Lowa			ᴴtsʲʰen			 boiled wheat	किे
245	Lowa	FINE (PENALTY)	218	ᴴtsʲʰeba			 fine, penalty	कबे ा
246	Lowa	OLD (AGED)	2112	ᴴtsʲʰebo			elder,big,large, superior	कबे ो
247	Lowa	PROSTITUTE	1610	ᴴtsʲʰemu			 prostitute, harlot, whore	कमे कु
248	Lowa			ᴴtsʲʰeʲok			 greatest, biggest	कये ोक
249	Lowa			ᴴtsʲʰeluk			 culture	कले कुक
250	Lowa			ᴴtsʲʰewa			 hatred, aversion, antipathy	किे ा
251	Lowa	GREEDY	2018	ᴴtsʲʰewa ᴴtsʲʰe			 greedy	किे ा्के
252	Lowa			ᴴtsʲʰo ʟmegin			 valueless	को्मगे ीि
253	Lowa			ᴴtsʲʰok‍roŋ			 copper string worn to ward off sickness	कोक्रोङ
254	Lowa	TOWARDS	2754	ᴴtsʲʰok‍la			 towards, the side of, in the direction of	कोक्ला
255	Lowa			ᴴtsʲʰok‍sum			 three direction	कोक्सकुम
256	Lowa	LEAVE	1752	ᴴtsʲʰom‍gin			 leave	कोम्गीि
257	Lowa			ᴴtsʲʰora ʟʈok‍pu			 water mill	कोरा्ढोक्पकु
258	Lowa			ᴴtsʲʰololok			 sound of water flowing	कोलोलोक
259	Lowa	READ	724	ᴴtsʲʰø ᴴlok‍kin			 read, study, recite	कछो़्ॱलोक्कीि
260	Lowa			ᴴtsʲʰøgin			s hand	कछो़गीि
261	Lowa			ᴴtsʲʰøgø			s clothes	कछो़गछो़
262	Lowa			ᴴtsʲʰøʈʰi			 table used to offer water during puja	कछो़ठी
263	Lowa	FALSE	3069	ᴴtsʲʰødima			 false, counterfeit, forged, not real or genuine, artificial, unnatural	कछो़दीमा
264	Lowa			ᴴtsʲʰøba			od made from flour during worship	कछो़बा
265	Lowa			ᴴtsʲʰøba ᴴpugin			 prayer	कछो़बा्पकुगीि
266	Lowa			ᴴtsʲʰømi			 small earthenware lamp, small copper lamp	कछो़मी
267	Lowa			ᴴtsʲʰøʲok			ama while performing worship	कछो़योक
268	Lowa	RELIGION	661	ᴴtsʲʰølu			 virtue, religion	कछो़लकु
269	Lowa			ᴴkʰa ᴴkam‍gin			 dry lips	खा्काम्गीि
270	Lowa			ᴴkʰa ᴴkom‍gin			 feel thirsty	￼￼￼खा्कोम्गीि
271	Lowa			ᴴkʰa ᴴkʲagin			 embarrass	खा्क्यागीि
272	Lowa	RUDE	1412	ᴴkʰa ᴴtsʲʰe			 rude	खा्के
273	Lowa			ᴴkʰa ʟka			 edged	खा्घा
274	Lowa			ᴴkʰa ʟŋom‍gin			 quench thirst	खा्ङोम्गीि
275	Lowa			ᴴkʰa dzaba			 polite, courteous	खा्जाबा
276	Lowa			ᴴkʰa ʟtik‍kin			 mumbler	खा्धीक्कीि
277	Lowa			ᴴkʰa ᴴnuwa			edged	खा्ॱिकुिा
278	Lowa			ᴴkʰa ᴴpe ᴴtʰuk‍kin			 able to open	खा्प्े थकुक्कीि
279	Lowa			ᴴkʰa ʟʲaŋa			 fond of talking, talkative, chatty	खा्याङा
280	Lowa			ᴴkʰa ᴴsaŋa			 capable of speaking fluently, frankly speaking, speaking well	खा्साङा
281	Lowa	ENVY	40	ᴴkʰa ᴴsʲum‍gin			 envy	खा्सय् कुम्गीि
282	Lowa			ᴴkʰaini			 powdery drug of tobacco leaves mixed with lime	खाईिी
283	Lowa	PITY	1141	ᴴkʰak			 kindness, pity, mercy, favour, charity	खाक
284	Lowa			ᴴkʰak‍liŋ			 responsibility, charge, care	खाक्लीङ
285	Lowa			ᴴkʰaŋgok			 ruins of buildings	खाङगोक
286	Lowa			ᴴkʰaŋdzuŋ			 small room	खाङजकुङ
287	Lowa			ᴴkʰaŋba ᴴtip‍kin			 destroy building	खाङबा्तीप्कीि
288	Lowa			ᴴkʰaŋru			 debris	खाङरू
289	Lowa			ᴴkʰaŋi			 type of abuse	खाङी
290	Lowa			ᴴkʰatsʰa			 pungent or hot	￼￼￼खाछा
291	Lowa			ᴴkʰadza ʟkoŋbu			 animal disease	खाजा्घोङबकु
292	Lowa			ᴴkʰadzak			 fine paid for speaking taboo	खाजाक
293	Lowa			ᴴkʰadzy			slamic	खाजी
294	Lowa			ᴴkʰadzuk			 wind with snow	खाजकुक
295	Lowa	STOOL	2058	ᴴkʰadzok			 direction, stool, excreta	खाजोक
296	Lowa	QUIET	1314	ᴴkʰabakʰaba			 silent, quiet, silently, complete silence	खाबाखाबा
297	Lowa			ᴴkʰam ʟmegin			 unwilling to eat	खाम्मगे ीि
298	Lowa			ᴴkʰam‍lok			 lack of	खाम्लोक
299	Lowa	FULL	1429	ᴴkʰam‍saŋi			 perfect, full, complete, whole, accomplished, sufficient, detailed	खाम्साङी
300	Lowa			ᴴkʰaʲak			ibetan tea	खायाक
301	Lowa	APPEARANCE	1017	ᴴkʰari ʟŋop‍tsʲe			 sketch, appearance	￼￼￼￼खारी्ङोप्च्ये
302	Lowa	ABOVE	1741	ᴴkʰala			 above, on top of, in addition to	खाला
303	Lowa			ᴴkʰaluŋ			hurricane	खालकुङ
304	Lowa			ᴴkʰawa ʟkaŋrak ᴴkʲyri			 heavy snowfall	खािा्घाङराक्क्यीरी
305	Lowa			ᴴkʰawa ʟpady			 thick snow	खािा्भादी
306	Lowa			ᴴkʰawu			 telecommunication	खािकु
307	Lowa			ᴴkʰasʲuba			 tempting	खास्यकुबा
308	Lowa			ᴴkʰi			 year of dog	खी
309	Lowa			ᴴkʰikʲi			 twine	खीक्यी
310	Lowa	BARN OR SHED	3025	ᴴkʰim‍dzuŋ			 granary	खीम्जकुङ
311	Lowa			ᴴkʰu ᴴpok‍kin			 unload	खकु्पोक्कीि
312	Lowa			ᴴkʰuk‍ru			 halter or wooden nose ring	खकुक्रू
313	Lowa			ᴴkʰuŋre			 curtain of a window	खकुङरे
314	Lowa			ᴴkʰudzu			 snack	खकुजकु
315	Lowa			ᴴkʰumak			 small purse, wallet	खकुमाक
316	Lowa	BRING	692	ᴴkʰul‍la ᴴsʲok			 bring, fetch	खकुल्ला्स्योक
317	Lowa			ᴴkʰusumiʟtegin			 sit calmly	खकुसकुमी्धगेीि
318	Lowa	SHIRT	1622	ᴴkʰen‍dza			shirt	खने ्जा
319	Lowa	DIFFICULT	584	ᴴkʰen‍ʟtok‍wa			 difficult, intricate, hard	खने ्धोक्िा
320	Lowa			ᴴkʰep‍dzaŋ			 profit, gain, advantage	खपे ्जाङ
321	Lowa			ᴴkʰepsaŋ			 profit, gain, advantage	खपे साङ
322	Lowa			ᴴkʰem‍bu			ama	खमे ्बकु
323	Lowa			ᴴkʰo ᴴkʰoraŋ			 himself	खो्खोराङ
324	Lowa	IN	1460	ᴴkʰok			 in, inside, within	खोक
325	Lowa	SPIN	121	ᴴkʰok‍kin			 revolve, spin	खोक्कीि
326	Lowa	CRUEL	500	ᴴkʰokdzira			blooded, cruel	खोकजीरा
327	Lowa	ANXIETY	1000	ᴴkʰok‍ʟʈu			 anxiety, trouble, worry	खोक्ढकु
328	Lowa	EMPTY	1624	ᴴkʰok‍toŋba			 hollow, empty	खोक्तोङबा
329	Lowa			ᴴkʰok‍pa ᴴtsʲʰe			 having strong emotional control	खोक्पा्के
330	Lowa			ᴴkʰok‍pa ʟnaː			 unkind, merciless	खोक्पा्िाः
331	Lowa			ᴴkʰotsʲe			 surrounding	खोच्ये
332	Lowa	POCKET	1851	ᴴkʰoʈu			 pocket, pouch	खोटकु
333	Lowa			ᴴkʰomu			bellows,pipeor tube bound with a sack to blow fire	खोमकु
334	Lowa			ᴴkʰoraŋ ʟraŋ			 himself	खोराङ्राङ
335	Lowa	CHOPSTICK	2054	ᴴkʰødzi			 chopstick	खछो़जी
336	Lowa	CROOKED	297	ᴴkʲʰakʲʰoi			 crooked	ख्याख्योई
337	Lowa			ᴴkʲʰagin			 fully irrigate a field	ख्यागीि
338	Lowa			ᴴkʲʰamu			 wandering, roaming	ख्यामकु
339	Lowa			ᴴkʲʰam‍ɖuk			 wandering, roaming	ख्याम्डकुक
340	Lowa			ᴴkʲʰarkin			 stumble	ख्यारकीि
341	Lowa	STRANGE	600	ᴴkʲʰen‍sa			 strange, surprising, astonishing	￼￼￼ख्येन्सा
342	Lowa			ᴴkʲʰok‍toŋ			 youth	ख्योक्तोङ
343	Lowa			ᴴkʲʰom‍gin			 loiter aimlessly	ख्योम्गीि
344	Lowa			ᴴkʲʰoraŋ			 yourself	￼￼￼￼ख्योराङ
345	Lowa	HUSBAND	1200	ᴴkʲʰowa			 husband	ख्योिा
346	Lowa	YOU	1213	ᴴkʲʰø			 you	ख्यछो़
347	Lowa			ᴴkʲʰø ᴴkʲʰoraŋ			yourself	ख्यछो़्ख्योराङ
348	Lowa	CARROT	3085	ʟgadzar			 carrot	गाजार
349	Lowa			ʟgila			 drinking glass, tumbler	गीला
350	Lowa			ʟgue ʟmegin			 immovable	गकुए्मगे ीि
351	Lowa	HOOK	1071	ʟguk			 hook	गकुक
